"id","altlabel","preflabel","wiki"
"447","Amsterdamse Trekvaart","Amsterdamsevaart","http://www.wikidata.org/entity/Q18935295"
"448","Amsterdamsche Trekvaart","Amsterdamsevaart","http://www.wikidata.org/entity/Q18935295"
"100","Ane gang","Anegang","http://www.wikidata.org/entity/Q17196020"
"446","Baan Laan","Baanlaan","http://www.wikidata.org/entity/Q98121763"
"445","Bakenessergragt","Bakenessergracht","http://www.wikidata.org/entity/Q2458425"
"148","Klerk steeg","Bakenesserstraat","http://www.wikidata.org/entity/Q18940978"
"444","Bakkumsteeg","Bakkumstraat","http://www.wikidata.org/entity/Q18941335"
"441","Bailliuwslaan","Baljuwslaan","http://www.wikidata.org/entity/Q18941631"
"442","Bailluwslaan","Baljuwslaan","http://www.wikidata.org/entity/Q18941631"
"443","Bailuwslaan","Baljuwslaan","http://www.wikidata.org/entity/Q18941631"
"223","Baljuw’s Laan","Baljuwslaan","http://www.wikidata.org/entity/Q18941631"
"183","Barne steeg","Barnesteeg","http://www.wikidata.org/entity/Q18942896"
"440","Barnaarsteeg","Barnesteeg","http://www.wikidata.org/entity/Q18942896"
"271","Barrevoete steeg","Barrevoetestraat","http://www.wikidata.org/entity/Q18943547"
"238","Batte joris straat","Barteljorisstraat","http://www.wikidata.org/entity/Q2103278"
"176","Beek steeg","Beeksteeg","http://www.wikidata.org/entity/Q18943308"
"131","Bagijnen steeg","Begijnesteeg","http://www.wikidata.org/entity/Q18944632"
"438","Bagynesteegje","Begijnesteeg","http://www.wikidata.org/entity/Q18944632"
"439","bagijnesteegje","Begijnesteeg","http://www.wikidata.org/entity/Q18944632"
"133","Het Donker Bagijn Hof","Begijnhof","http://www.wikidata.org/entity/Q18944642"
"114","Berkenroode steeg","Berkenrodesteeg","http://www.wikidata.org/entity/Q18948973"
"157","Het Meniste steegje","Blekerstraat","http://www.wikidata.org/entity/Q18957249"
"142","Biggen steeg","Bloemertstraat","http://www.wikidata.org/entity/Q18958029"
"436","Biggesteegje","Bloemertstraat","http://www.wikidata.org/entity/Q18958029"
"437","Biggesteeg","Bloemertstraat","http://www.wikidata.org/entity/Q18958029"
"44","Bree Steeg","Breestraat","http://www.wikidata.org/entity/Q18968556"
"433","Brouwersvaard","Brouwersvaart","http://www.wikidata.org/entity/Q18975247"
"434","Brouwersv.","Brouwersvaart","http://www.wikidata.org/entity/Q18975247"
"435","Brouwersvart","Brouwersvaart","http://www.wikidata.org/entity/Q18975247"
"87","Kamper Bree steeg","Burretstraat","http://www.wikidata.org/entity/Q18980763"
"230","Cecilia steeg","Ceciliasteeg","http://www.wikidata.org/entity/Q17286377"
"50","Cornelis steeg","Cornelissteeg","http://www.wikidata.org/entity/Q18984077"
"120","Dam steeg","Damsteeg","http://www.wikidata.org/entity/Q98092211"
"432","Damsteegje","Damsteeg","http://www.wikidata.org/entity/Q98092211"
"116","Dam straat","Damstraat","http://www.wikidata.org/entity/Q1868933"
"82","Kamper steeg","De Haasstraat","http://www.wikidata.org/entity/Q19008370"
"74","Voorkamp","De Witstraat","http://www.wikidata.org/entity/Q19012685"
"161","Dijk straat","Dijkstraat","http://www.wikidata.org/entity/Q19017689"
"27","Doel straat","Doelstraat","http://www.wikidata.org/entity/Q17286380"
"132","Het Bagijn Hof","Donkere Begijnhof","http://www.wikidata.org/entity/Q19013141"
"9","Drapeniers straat","Drapenierstraat","http://www.wikidata.org/entity/Q19043563"
"429","Trappenierst.","Drapenierstraat","http://www.wikidata.org/entity/Q19043563"
"430","Trappenierstraat","Drapenierstraat","http://www.wikidata.org/entity/Q19043563"
"431","Trappenierstr.","Drapenierstraat","http://www.wikidata.org/entity/Q19043563"
"428","Dreef van den Hout","Dreef","http://www.wikidata.org/entity/Q17287368"
"424","Noorder Hogelandslaan","Eerste Hooglandslaan","http://www.wikidata.org/entity/Q98095448"
"425","1e Hooglandslaan","Eerste Hooglandslaan","http://www.wikidata.org/entity/Q98095448"
"426","Eerste Hoogelandslaan","Eerste Hooglandslaan","http://www.wikidata.org/entity/Q98095448"
"427","Noorder Hoogelands Laan","Eerste Hooglandslaan","http://www.wikidata.org/entity/Q98095448"
"85","Achter kamp","Essenstraat","http://www.wikidata.org/entity/Q19120575"
"422","Achterkamp","Essenstraat","http://www.wikidata.org/entity/Q19120575"
"423","Agterkamp","Essenstraat","http://www.wikidata.org/entity/Q19120575"
"99","Franke straat","Frankestraat","http://www.wikidata.org/entity/Q17195921"
"201","Laan naar ’t Vrouwen of Friesche hek","Friese Varkenmarkt","http://www.wikidata.org/entity/Q19159936"
"270","Gasthuis straat","Gasthuisstraat","http://www.wikidata.org/entity/Q19119600"
"57","Vest","Gasthuisvest","http://www.wikidata.org/entity/Q19119694"
"12","Raam gracht","Gedempte Raamgracht","http://www.wikidata.org/entity/Q19120109"
"268","Volders Gracht","Gedempte Voldersgracht","http://www.wikidata.org/entity/Q19120141"
"45","Gier straat","Gierstraat","http://www.wikidata.org/entity/Q17195927"
"70","Gorte steeg","Gortestraat","http://www.wikidata.org/entity/Q19201252"
"135","Het Pleintje","Goudsmidspleintje","http://www.wikidata.org/entity/Q19202265"
"90","Gravinne steeg","Gravinnesteeg","http://www.wikidata.org/entity/Q19205147"
"79","Groenendaals steeg","Groendaalsteeg","http://www.wikidata.org/entity/Q19206663"
"421","Groendalsteeg","Groendaalsteeg","http://www.wikidata.org/entity/Q19206663"
"129","Kalver steeg","Groene Buurt","http://www.wikidata.org/entity/Q19206676"
"43","Groenendaal steeg","Groenendaalsteeg","http://www.wikidata.org/entity/Q98093092"
"416","Groendalst.","Groenendaalsteeg","http://www.wikidata.org/entity/Q98093092"
"417","Groenendalsteeg","Groenendaalsteeg","http://www.wikidata.org/entity/Q98093092"
"418","Groendalsteeg","Groenendaalsteeg","http://www.wikidata.org/entity/Q98093092"
"419","Groennendaalsteeg","Groenendaalsteeg","http://www.wikidata.org/entity/Q98093092"
"420","Groendaalsteeg","Groenendaalsteeg","http://www.wikidata.org/entity/Q98093092"
"59","Het groot Heilig land","Groot Heiligland","http://www.wikidata.org/entity/Q17286437"
"415","Groote Houtstraat","Grote Houtstraat","http://www.wikidata.org/entity/Q3094222"
"175","Hage straat","Hagestraat","http://www.wikidata.org/entity/Q19241256"
"413","Haasepaterslaan","Hazepaterslaan","http://www.wikidata.org/entity/Q19202012"
"414","Haazepaterslaan","Hazepaterslaan","http://www.wikidata.org/entity/Q19202012"
"92","Helmbreekers steeg","Helmbrekersteeg","http://www.wikidata.org/entity/Q19246247"
"412","Hellebrekersteeg","Helmbrekersteeg","http://www.wikidata.org/entity/Q19246247"
"410","Bullencingel","Herensingel","http://www.wikidata.org/entity/Q15876258"
"411","Bullen Singel","Herensingel","http://www.wikidata.org/entity/Q15876258"
"182","Hoog straat","Hoogstraat","http://www.wikidata.org/entity/Q19257743"
"107","Vriessche Varkenmarkt of Hooimarkt","Hooimarkt","http://www.wikidata.org/entity/Q17286477"
"246","Jakobijnen straat","Jacobijnestraat","http://www.wikidata.org/entity/Q17286479"
"408","Janstraat","Jansstraat","http://www.wikidata.org/entity/Q17195891"
"409","St. Jansstraat","Jansstraat","http://www.wikidata.org/entity/Q17195891"
"134","Groene Buurt","Kalversteeg","http://www.wikidata.org/entity/Q19285460"
"406","Cingel","Kampersingel","http://www.wikidata.org/entity/Q19287050"
"407","Stads Cingel","Kampersingel","http://www.wikidata.org/entity/Q19287050"
"405","Varkensmarkt","Kennemerplein","http://www.wikidata.org/entity/Q17286538"
"1","Het Zieke","Kennemerstraat","http://www.wikidata.org/entity/Q19293808"
"193","Kerkhof straat","Kerkhofstraat","http://www.wikidata.org/entity/Q19294362"
"24","Kerk straat","Kerkstraat","http://www.wikidata.org/entity/Q17286558"
"402","Kinderhuysstraat","Kinderhuisstraat","http://www.wikidata.org/entity/Q98096234"
"403","Kinderestraat","Kinderhuisstraat","http://www.wikidata.org/entity/Q98096234"
"404","kinderstraat","Kinderhuisstraat","http://www.wikidata.org/entity/Q98096234"
"204","Kinderhuis straat","Kinderhuisstraat","http://www.wikidata.org/entity/Q98096234"
"52","Het kleine Heilig land","Klein Heiligland","http://www.wikidata.org/entity/Q17195941"
"66","Kleine Hout straat","Kleine Houtstraat","http://www.wikidata.org/entity/Q17195897"
"400","Klyne Houtweg","Kleine Houtweg","http://www.wikidata.org/entity/Q17195950"
"401","Klyne Houtw.","Kleine Houtweg","http://www.wikidata.org/entity/Q17195950"
"394","Kloppercingel","Kloppersingel","http://www.wikidata.org/entity/Q19304698"
"395","Kloppen-Cingel","Kloppersingel","http://www.wikidata.org/entity/Q19304698"
"396","Klopper-Cingel","Kloppersingel","http://www.wikidata.org/entity/Q19304698"
"397","Kloppe Cingel","Kloppersingel","http://www.wikidata.org/entity/Q19304698"
"398","Kloppe-Cingel","Kloppersingel","http://www.wikidata.org/entity/Q19304698"
"399","Kloppen Cingel","Kloppersingel","http://www.wikidata.org/entity/Q19304698"
"143","Kok steeg","Kokstraat","http://www.wikidata.org/entity/Q17286563"
"242","Konings straat","Koningstraat","http://www.wikidata.org/entity/Q17286201"
"192","Kool steeg","Koolsteeg","http://www.wikidata.org/entity/Q19307907"
"388","Kraalesteeg","Koralensteeg","http://www.wikidata.org/entity/Q19308942"
"389","Kraalest.","Koralensteeg","http://www.wikidata.org/entity/Q19308942"
"390","Kralest.","Koralensteeg","http://www.wikidata.org/entity/Q19308942"
"391","Craalesteeg","Koralensteeg","http://www.wikidata.org/entity/Q19308942"
"392","Coralesteeg","Koralensteeg","http://www.wikidata.org/entity/Q19308942"
"393","Kralesteeg","Koralensteeg","http://www.wikidata.org/entity/Q19308942"
"162","Koralen steeg","Koralensteeg","http://www.wikidata.org/entity/Q19308942"
"20","korte St. Anna straat","Korte Annastraat","http://www.wikidata.org/entity/Q19312195"
"127","korte Bagijnen straat","Korte Begijnestraat","http://www.wikidata.org/entity/Q17286568"
"274","korte Bogaard straat","Korte Bogaardstraat","http://www.wikidata.org/entity/Q19312293"
"14","korte Geuse straat","Korte Geuzenstraat","http://www.wikidata.org/entity/Q98088165"
"385","Korte Geusestr.","Korte Geuzenstraat","http://www.wikidata.org/entity/Q98088165"
"386","Korte Geusestraat","Korte Geuzenstraat","http://www.wikidata.org/entity/Q98088165"
"387","Korte Geuzestraat","Korte Geuzenstraat","http://www.wikidata.org/entity/Q98088165"
"41","Magdalena steeg","Korte Gierstraat","http://www.wikidata.org/entity/Q19312403"
"2","korte Heeren straat","Korte Herenstraat","http://www.wikidata.org/entity/Q19312448"
"384","Korte Heerestraat","Korte Herenstraat","http://www.wikidata.org/entity/Q19312448"
"377","Heeren Vestje","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"378","Korten Vestjen","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"379","heere vestje","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"380","Korte Heerenvest","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"381","Korte Vest","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"382","Korte Heerenvest","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"383","Kromme Heerenvest","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"186","korte of kromme Heeren vest","Korte Herenvest","http://www.wikidata.org/entity/Q98095079"
"72","korte Hofstraat","Korte Hofstraat","http://www.wikidata.org/entity/Q19312455"
"21","korte Hout straat","Korte Houtstraat","http://www.wikidata.org/entity/Q17286570"
"139","korte Jans straat","Korte Jansstraat","http://www.wikidata.org/entity/Q19312472"
"26","korte Laken straat","Korte Lakenstraat","http://www.wikidata.org/entity/Q19312535"
"221","korte Margaretha straat","Korte Margarethastraat","http://www.wikidata.org/entity/Q19312560"
"374","Korte Polaan","Korte Poellaan","http://www.wikidata.org/entity/Q19312622"
"375","Korte Pollaan","Korte Poellaan","http://www.wikidata.org/entity/Q19312622"
"376","Korte Poel-Laan","Korte Poellaan","http://www.wikidata.org/entity/Q19312622"
"15","korte Raam straat","Korte Raamstraat","http://www.wikidata.org/entity/Q98088287"
"167","Het Korte Spaarn","Korte Spaarne","http://www.wikidata.org/entity/Q17286572"
"94","korte Veer straat","Korte Veerstraat","http://www.wikidata.org/entity/Q19312727"
"7","korte Vlaming straat","Korte Vlamingstraat","http://www.wikidata.org/entity/Q98075595"
"227","korte Wijngaard straat","Korte Wijngaardstraat","http://www.wikidata.org/entity/Q19312779"
"253","korte Zijlstraat","Korte Zijlstraat","http://www.wikidata.org/entity/Q19312792"
"155","Kouden Horn","Koudenhorn","http://www.wikidata.org/entity/Q17286575"
"216","kleine Krocht","Krocht","http://www.wikidata.org/entity/Q17286578"
"213","Krom Elleboog steeg","Kromme Elleboogsteeg","http://www.wikidata.org/entity/Q17286580"
"261","kromme Volders Gracht","Kromme Voldersgracht","http://www.wikidata.org/entity/Q98100224"
"372","Korte Kromme Voldersgragt","Kromme Voldersgracht","http://www.wikidata.org/entity/Q98100224"
"373","Korte Voldersgragt","Kromme Voldersgracht","http://www.wikidata.org/entity/Q98100224"
"39","lange St. Anna straat","Lange Annastraat","http://www.wikidata.org/entity/Q17286624"
"126","lange Bagijnen straat","Lange Begijnestraat","http://www.wikidata.org/entity/Q17286634"
"275","lange Bogaard straat","Lange Bogaardstraat","http://www.wikidata.org/entity/Q19319288"
"266","lange Heeren straat","Lange Herenstraat","http://www.wikidata.org/entity/Q19319546"
"203","lange Heeren vest","Lange Herenvest","http://www.wikidata.org/entity/Q19319550"
"73","lange Hof straat","Lange Hofstraat","http://www.wikidata.org/entity/Q19319583"
"30","lange laken straat","Lange Lakenstraat","http://www.wikidata.org/entity/Q19319672"
"217","lange Margaretha straat","Lange Margarethastraat","http://www.wikidata.org/entity/Q17286659"
"31","lange Raam straat","Lange Raamstraat","http://www.wikidata.org/entity/Q19319862"
"245","lange Rozen straat","Lange Rozenstraat","http://www.wikidata.org/entity/Q98118494"
"361","Oude Ruyterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"362","Oude Ruiterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"363","Zaksteeg","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"364","Ruyterst","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"365","Ruyterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"366","Lange Ruyterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"367","Ruiterstraat","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"234","Lange Ruiters straat of Zak steeg","Lange Ruiterstraat","http://www.wikidata.org/entity/Q98118379"
"113","lange Veer straat","Lange Veerstraat","http://www.wikidata.org/entity/Q17286671"
"5","lange Vlaming straat","Lange Vlamingstraat","http://www.wikidata.org/entity/Q98075423"
"232","Lange Wijngaard straat","Lange Wijngaardstraat","http://www.wikidata.org/entity/Q19320206"
"194","Witte Lely of Slijk straat","Leliestraat","http://www.wikidata.org/entity/Q19324359"
"110","Tussen de Palen of Lepel straat","Lepelstraat","http://www.wikidata.org/entity/Q19325693"
"184","Vrouwe steeg","Lieve Vrouwe Gracht","http://www.wikidata.org/entity/Q19326667"
"130","Lombard steeg","Lombardsteeg","http://www.wikidata.org/entity/Q19329338"
"128","Magdalena straat","Magdalenastraat","http://www.wikidata.org/entity/Q19333786"
